Runde;Block;Gebot;Bietender
9;26A 3,6 GHz;21700000;1&1 Drillisch
9;27A 3,6 GHz;21700000;1&1 Drillisch
9;28A 3,6 GHz;21700000;1&1 Drillisch
9;29K 3,6 GHz;23870000;Telekom
10;01A 2 GHz;7320000;Telefónica Deutschland
10;02A 2 GHz;6655000;Vodafone
10;03A 2 GHz;7320000;Telekom
10;04A 2 GHz;7320000;Telekom
10;05A 2 GHz;7320000;1&1 Drillisch
10;06A 2 GHz;7320000;Telekom
10;07A 2 GHz;27500000;Vodafone
10;08A 2 GHz;25000000;1&1 Drillisch
10;09A 2 GHz (2026);5489000;Telefónica Deutschland
10;10A 2 GHz (2026);5489000;Telefónica Deutschland
10;11A 2 GHz (2026);23750000;1&1 Drillisch
10;12A 2 GHz (2026);26125000;Vodafone
10;01K 3,6 GHz;Kein Gebot;Kein Gebot
10;02A 3,6 GHz;2057000;Telekom
10;03A 3,6 GHz;2057000;Telekom
10;04A 3,6 GHz;2057000;Telekom
10;05A 3,6 GHz;2057000;Vodafone
10;06A 3,6 GHz;2057000;Vodafone
10;07A 3,6 GHz;1870000;Telefónica Deutschland
10;08A 3,6 GHz;2262000;Telekom
10;09A 3,6 GHz;2262000;Telekom
10;10A 3,6 GHz;2057000;Vodafone
10;11A 3,6 GHz;2057000;Telefónica Deutschland
10;12A 3,6 GHz;2057000;Telefónica Deutschland
10;13A 3,6 GHz;2057000;Telefónica Deutschland
10;14A 3,6 GHz;2057000;Telefónica Deutschland
10;15A 3,6 GHz;1870000;Telekom
10;16A 3,6 GHz;2057000;Telefónica Deutschland
10;17A 3,6 GHz;2057000;Telefónica Deutschland
10;18A 3,6 GHz;2057000;Telefónica Deutschland
10;19A 3,6 GHz;2057000;1&1 Drillisch
10;20A 3,6 GHz;2057000;Vodafone
10;21A 3,6 GHz;2057000;Vodafone
10;22A 3,6 GHz;2057000;Vodafone
10;23A 3,6 GHz;2057000;Vodafone
10;24A 3,6 GHz;23870000;Vodafone
10;25A 3,6 GHz;23870000;Vodafone
10;26A 3,6 GHz;21700000;1&1 Drillisch
10;27A 3,6 GHz;21700000;1&1 Drillisch
10;28A 3,6 GHz;21700000;1&1 Drillisch
10;29K 3,6 GHz;23870000;Telekom
11;01A 2 GHz;8052000;Telekom
11;02A 2 GHz;7320000;Telefónica Deutschland
11;03A 2 GHz;7320000;Telekom
11;04A 2 GHz;7320000;Telekom
11;05A 2 GHz;8052000;Vodafone
11;06A 2 GHz;7320000;Telekom
11;07A 2 GHz;27500000;Vodafone
11;08A 2 GHz;25000000;1&1 Drillisch
11;09A 2 GHz (2026);5489000;Telefónica Deutschland
11;10A 2 GHz (2026);6037000;1&1 Drillisch
11;11A 2 GHz (2026);23750000;1&1 Drillisch
11;12A 2 GHz (2026);26125000;Vodafone
11;01K 3,6 GHz;Kein Gebot;Kein Gebot
11;02A 3,6 GHz;2057000;Telekom
11;03A 3,6 GHz;2057000;Telekom
11;04A 3,6 GHz;2057000;Telekom
11;05A 3,6 GHz;2057000;Vodafone
11;06A 3,6 GHz;2057000;Vodafone
11;07A 3,6 GHz;2057000;1&1 Drillisch
11;08A 3,6 GHz;2262000;Telekom
11;09A 3,6 GHz;2262000;Telekom
11;10A 3,6 GHz;2057000;Vodafone
11;11A 3,6 GHz;2262000;Telekom
11;12A 3,6 GHz;2262000;Telekom
11;13A 3,6 GHz;2057000;Telefónica Deutschland
11;14A 3,6 GHz;2057000;Telefónica Deutschland
11;15A 3,6 GHz;2057000;Telefónica Deutschland
11;16A 3,6 GHz;2057000;Telefónica Deutschland
11;17A 3,6 GHz;2057000;Telefónica Deutschland
11;18A 3,6 GHz;2057000;Telefónica Deutschland
11;19A 3,6 GHz;2057000;1&1 Drillisch
11;20A 3,6 GHz;2057000;Vodafone
11;21A 3,6 GHz;2057000;Vodafone
11;22A 3,6 GHz;2057000;Vodafone
11;23A 3,6 GHz;2057000;Vodafone
11;24A 3,6 GHz;23870000;Vodafone
11;25A 3,6 GHz;23870000;Vodafone
11;26A 3,6 GHz;21700000;1&1 Drillisch
11;27A 3,6 GHz;21700000;1&1 Drillisch
11;28A 3,6 GHz;21700000;1&1 Drillisch
11;29K 3,6 GHz;23870000;Telekom
12;01A 2 GHz;8052000;Telekom
